Place_Id,Place_Name,Category,City,Combined_Features
72,Waterboom PIK (Pantai Indah Kapuk),Taman Hiburan,Jakarta,waterboom pik pantai indah kapuk taman hiburan jakarta
73,Museum Perangko,Budaya,Jakarta,museum perangko budaya jakarta
74,Museum Tengah Kebun,Budaya,Jakarta,museum tengah kebun budaya jakarta
75,SnowBay Waterpark,Taman Hiburan,Jakarta,snowbay waterpark taman hiburan jakarta
76,Taman Cattleya,Taman Hiburan,Jakarta,taman cattleya taman hiburan jakarta
77,Taman Hutan Tebet,Taman Hiburan,Jakarta,taman hutan tebet taman hiburan jakarta
78,Hutan Kota Srengseng,Taman Hiburan,Jakarta,hutan kota srengseng taman hiburan jakarta
79,Taman Spathodea,Taman Hiburan,Jakarta,taman spathodea taman hiburan jakarta
80,Plaza Indonesia,Pusat Perbelanjaan,Jakarta,plaza indonesia pusat perbelanjaan jakarta
81,Mall Thamrin City,Pusat Perbelanjaan,Jakarta,mall thamrin city pusat perbelanjaan jakarta
82,Museum Satria Mandala,Budaya,Jakarta,museum satria mandala budaya jakarta
83,Alive Museum Ancol,Taman Hiburan,Jakarta,alive museum ancol taman hiburan jakarta
84,Kawasan Kuliner BSM,Pusat Perbelanjaan,Jakarta,kawasan kuliner bsm pusat perbelanjaan jakarta
85,Taman Pintar Yogyakarta,Taman Hiburan,Yogyakarta,taman pintar yogyakarta taman hiburan yogyakarta
86,Keraton Yogyakarta,Budaya,Yogyakarta,keraton yogyakarta budaya yogyakarta
87,Sindu Kusuma Edupark (SKE),Taman Hiburan,Yogyakarta,sindu kusuma edupark ske taman hiburan yogyakarta
88,Museum Benteng Vredeburg Yogyakarta,Budaya,Yogyakarta,museum benteng vredeburg yogyakarta budaya yogyakarta
89,De Mata Museum Jogja,Budaya,Yogyakarta,de mata museum jogja budaya yogyakarta
90,Kampung Wisata Taman Sari,Taman Hiburan,Yogyakarta,kampung wisata taman sari taman hiburan yogyakarta
91,Situs Warungboto,Taman Hiburan,Yogyakarta,situs warungboto taman hiburan yogyakarta
92,Nol Kilometer Jl.Malioboro,Taman Hiburan,Yogyakarta,nol kilometer jlmalioboro taman hiburan yogyakarta
93,Gembira Loka Zoo,Cagar Alam,Yogyakarta,gembira loka zoo cagar alam yogyakarta
94,Sumur Gumuling,Taman Hiburan,Yogyakarta,sumur gumuling taman hiburan yogyakarta
95,Desa Wisata Sungai Code Jogja Kota,Taman Hiburan,Yogyakarta,desa wisata sungai code jogja kota taman hiburan yogyakarta
96,Alun Alun Selatan Yogyakarta,Taman Hiburan,Yogyakarta,alun alun selatan yogyakarta taman hiburan yogyakarta
97,Monumen Yogya Kembali,Budaya,Yogyakarta,monumen yogya kembali budaya yogyakarta
98,Taman Pelangi Yogyakarta,Taman Hiburan,Yogyakarta,taman pelangi yogyakarta taman hiburan yogyakarta
99,Kampung Wisata Kadipaten,Budaya,Yogyakarta,kampung wisata kadipaten budaya yogyakarta
100,Taman Budaya Yogyakarta,Budaya,Yogyakarta,taman budaya yogyakarta budaya yogyakarta
101,Kampung Wisata Sosro Menduran,Budaya,Yogyakarta,kampung wisata sosro menduran budaya yogyakarta
102,Monumen Batik Yogyakarta,Budaya,Yogyakarta,monumen batik yogyakarta budaya yogyakarta
103,Tugu Pal Putih Jogja,Taman Hiburan,Yogyakarta,tugu pal putih jogja taman hiburan yogyakarta
104,Tebing Breksi,Budaya,Yogyakarta,tebing breksi budaya yogyakarta
105,Candi Donotirto,Budaya,Yogyakarta,candi donotirto budaya yogyakarta
106,Kawasan Malioboro,Taman Hiburan,Yogyakarta,kawasan malioboro taman hiburan yogyakarta
107,Bangsal Pagelaran,Budaya,Yogyakarta,bangsal pagelaran budaya yogyakarta
108,Embung Tambakboyo,Taman Hiburan,Yogyakarta,embung tambakboyo taman hiburan yogyakarta
109,Hutan Pinus Pengger,Taman Hiburan,Yogyakarta,hutan pinus pengger taman hiburan yogyakarta
110,Monumen Serangan Umum 1 Maret,Taman Hiburan,Yogyakarta,monumen serangan umum  maret taman hiburan yogyakarta
111,Puncak Pinus Becici,Taman Hiburan,Yogyakarta,puncak pinus becici taman hiburan yogyakarta
112,Bukit Bintang Yogyakarta,Taman Hiburan,Yogyakarta,bukit bintang yogyakarta taman hiburan yogyakarta
113,Gedung Agung Yogyakarta,Budaya,Yogyakarta,gedung agung yogyakarta budaya yogyakarta
114,The Lost World Castle,Taman Hiburan,Yogyakarta,the lost world castle taman hiburan yogyakarta
115,Monumen Sanapati,Budaya,Yogyakarta,monumen sanapati budaya yogyakarta
116,Jurang Tembelan Kanigoro,Taman Hiburan,Yogyakarta,jurang tembelan kanigoro taman hiburan yogyakarta
117,The World Landmarks - Merapi Park Yogyakarta,Taman Hiburan,Yogyakarta,the world landmarks  merapi park yogyakarta taman hiburan yogyakarta
118,Museum Sonobudoyo Unit I,Budaya,Yogyakarta,museum sonobudoyo unit i budaya yogyakarta
119,Lava Bantal,Budaya,Yogyakarta,lava bantal budaya yogyakarta
120,Bukit Panguk Kediwung,Budaya,Yogyakarta,bukit panguk kediwung budaya yogyakarta
121,Candi Prambanan,Budaya,Yogyakarta,candi prambanan budaya yogyakarta
122,Watu Goyang,Budaya,Yogyakarta,watu goyang budaya yogyakarta
123,Kampung Wisata Rejowinangun,Budaya,Yogyakarta,kampung wisata rejowinangun budaya yogyakarta
124,Kauman Pakualaman Yogyakarta,Budaya,Yogyakarta,kauman pakualaman yogyakarta budaya yogyakarta
125,Alun-alun Utara Keraton Yogyakarta,Budaya,Yogyakarta,alunalun utara keraton yogyakarta budaya yogyakarta
126,Pantai Goa Cemara,Bahari,Yogyakarta,pantai goa cemara bahari yogyakarta
127,Blue Lagoon Jogja,Taman Hiburan,Yogyakarta,blue lagoon jogja taman hiburan yogyakarta
128,Gumuk Pasir Parangkusumo,Taman Hiburan,Yogyakarta,gumuk pasir parangkusumo taman hiburan yogyakarta
129,Bukit Lintang Sewu,Taman Hiburan,Yogyakarta,bukit lintang sewu taman hiburan yogyakarta
130,Studio Alam Gamplong,Taman Hiburan,Yogyakarta,studio alam gamplong taman hiburan yogyakarta
131,Watu Lumbung,Cagar Alam,Yogyakarta,watu lumbung cagar alam yogyakarta
132,Air Terjun Kedung Pedut,Cagar Alam,Yogyakarta,air terjun kedung pedut cagar alam yogyakarta
133,Puncak Kebun Buah Mangunan,Taman Hiburan,Yogyakarta,puncak kebun buah mangunan taman hiburan yogyakarta
134,Desa Wisata Gamplong,Taman Hiburan,Yogyakarta,desa wisata gamplong taman hiburan yogyakarta
135,Kawasan Wisata Sosrowijayan,Pusat Perbelanjaan,Yogyakarta,kawasan wisata sosrowijayan pusat perbelanjaan yogyakarta
136,Grojogan Watu Purbo Bangunrejo,Taman Hiburan,Yogyakarta,grojogan watu purbo bangunrejo taman hiburan yogyakarta
137,Wisata Alam Kalibiru,Cagar Alam,Yogyakarta,wisata alam kalibiru cagar alam yogyakarta
138,Jogja Exotarium,Taman Hiburan,Yogyakarta,jogja exotarium taman hiburan yogyakarta
139,Puncak Gunung Api Purba - Nglanggeran,Cagar Alam,Yogyakarta,puncak gunung api purba  nglanggeran cagar alam yogyakarta
140,Bendung Lepen,Taman Hiburan,Yogyakarta,bendung lepen taman hiburan yogyakarta
141,Bunker Kaliadem Merapi,Cagar Alam,Yogyakarta,bunker kaliadem merapi cagar alam yogyakarta
142,Ledok Sambi,Cagar Alam,Yogyakarta,ledok sambi cagar alam yogyakarta
143,Seribu Batu Songgo Langit,Cagar Alam,Yogyakarta,seribu batu songgo langit cagar alam yogyakarta
144,Goa Jomblang,Cagar Alam,Yogyakarta,goa jomblang cagar alam yogyakarta
145,Desa Wisata Rumah Domes/Teletubbies,Taman Hiburan,Yogyakarta,desa wisata rumah domesteletubbies taman hiburan yogyakarta
146,Bukit Wisata Pulepayung,Cagar Alam,Yogyakarta,bukit wisata pulepayung cagar alam yogyakarta
147,Bentara Budaya Yogyakarta (BBY),Budaya,Yogyakarta,bentara budaya yogyakarta bby budaya yogyakarta
148,Goa Rancang Kencono,Cagar Alam,Yogyakarta,goa rancang kencono cagar alam yogyakarta
149,Goa Cerme,Cagar Alam,Yogyakarta,goa cerme cagar alam yogyakarta
150,Wisata Kraton Jogja,Budaya,Yogyakarta,wisata kraton jogja budaya yogyakarta
151,Desa Wisata Kelor,Taman Hiburan,Yogyakarta,desa wisata kelor taman hiburan yogyakarta
152,Pantai Patihan,Bahari,Yogyakarta,pantai patihan bahari yogyakarta
153,Pantai Kukup,Bahari,Yogyakarta,pantai kukup bahari yogyakarta
154,Pantai Ngrawe (Mesra),Bahari,Yogyakarta,pantai ngrawe mesra bahari yogyakarta
155,Pantai Ngobaran,Bahari,Yogyakarta,pantai ngobaran bahari yogyakarta
156,Pantai Pulang Sawal,Bahari,Yogyakarta,pantai pulang sawal bahari yogyakarta
157,Pantai Baron,Bahari,Yogyakarta,pantai baron bahari yogyakarta
158,Pantai Pok Tunggal,Bahari,Yogyakarta,pantai pok tunggal bahari yogyakarta
159,Hutan Pinus Asri,Cagar Alam,Yogyakarta,hutan pinus asri cagar alam yogyakarta
160,Pasar Kebon Empring Bintaran,Pusat Perbelanjaan,Yogyakarta,pasar kebon empring bintaran pusat perbelanjaan yogyakarta
161,"Bukit Paralayang, Watugupit",Cagar Alam,Yogyakarta,bukit paralayang watugupit cagar alam yogyakarta
162,Kampung Wisata Dipowinatan,Budaya,Yogyakarta,kampung wisata dipowinatan budaya yogyakarta
163,Watu Mabur Mangunan,Cagar Alam,Yogyakarta,watu mabur mangunan cagar alam yogyakarta
164,Pintoe Langit Dahromo,Cagar Alam,Yogyakarta,pintoe langit dahromo cagar alam yogyakarta
165,Green Village Gedangsari,Taman Hiburan,Yogyakarta,green village gedangsari taman hiburan yogyakarta
166,Kebun Teh Nglinggo,Cagar Alam,Yogyakarta,kebun teh nglinggo cagar alam yogyakarta
167,Geoforest Watu Payung Turunan,Cagar Alam,Yogyakarta,geoforest watu payung turunan cagar alam yogyakarta
168,Pantai Timang,Bahari,Yogyakarta,pantai timang bahari yogyakarta
169,Puncak Segoro,Cagar Alam,Yogyakarta,puncak segoro cagar alam yogyakarta
170,Candi Borobudur,Budaya,Yogyakarta,candi borobudur budaya yogyakarta
171,Candi Ijo,Budaya,Yogyakarta,candi ijo budaya yogyakarta
172,Pantai Indrayanti,Bahari,Yogyakarta,pantai indrayanti bahari yogyakarta
173,Pantai Nglambor,Bahari,Yogyakarta,pantai nglambor bahari yogyakarta
174,Pasar Beringharjo,Pusat Perbelanjaan,Yogyakarta,pasar beringharjo pusat perbelanjaan yogyakarta
175,Museum Ullen Sentalu,Budaya,Yogyakarta,museum ullen sentalu budaya yogyakarta
176,Museum Gunung Merapi,Budaya,Yogyakarta,museum gunung merapi budaya yogyakarta
177,Pantai Parangtritis,Bahari,Yogyakarta,pantai parangtritis bahari yogyakarta
178,Goa Pindul,Cagar Alam,Yogyakarta,goa pindul cagar alam yogyakarta
179,Candi Ratu Boko,Budaya,Yogyakarta,candi ratu boko budaya yogyakarta
180,Pantai Depok Jogja,Bahari,Yogyakarta,pantai depok jogja bahari yogyakarta
181,Pantai Sundak,Bahari,Yogyakarta,pantai sundak bahari yogyakarta
182,Hutan Mangrove Kulon Progo,Bahari,Yogyakarta,hutan mangrove kulon progo bahari yogyakarta
183,Jogja Bay Pirates Adventure Waterpark,Taman Hiburan,Yogyakarta,jogja bay pirates adventure waterpark taman hiburan yogyakarta
184,Pantai Sepanjang,Bahari,Yogyakarta,pantai sepanjang bahari yogyakarta
185,Pantai Krakal,Bahari,Yogyakarta,pantai krakal bahari yogyakarta
186,Pantai Glagah,Bahari,Yogyakarta,pantai glagah bahari yogyakarta
187,Pantai Siung,Bahari,Yogyakarta,pantai siung bahari yogyakarta
188,Pantai Sadranan,Bahari,Yogyakarta,pantai sadranan bahari yogyakarta
189,Pantai Nguluran,Bahari,Yogyakarta,pantai nguluran bahari yogyakarta
190,Pantai Samas,Bahari,Yogyakarta,pantai samas bahari yogyakarta
191,Pantai Drini,Bahari,Yogyakarta,pantai drini bahari yogyakarta
192,Air Terjun Sri Gethuk,Cagar Alam,Yogyakarta,air terjun sri gethuk cagar alam yogyakarta
193,Candi Sewu,Budaya,Yogyakarta,candi sewu budaya yogyakarta
194,Pantai Wediombo,Bahari,Yogyakarta,pantai wediombo bahari yogyakarta
195,Pantai Jogan,Bahari,Yogyakarta,pantai jogan bahari yogyakarta
196,Pantai Ngrenehan,Bahari,Yogyakarta,pantai ngrenehan bahari yogyakarta
197,Pantai Jungwok,Bahari,Yogyakarta,pantai jungwok bahari yogyakarta
198,Pantai Greweng,Bahari,Yogyakarta,pantai greweng bahari yogyakarta
199,Pantai Sedahan,Bahari,Yogyakarta,pantai sedahan bahari yogyakarta
200,Pantai Watu Kodok,Bahari,Yogyakarta,pantai watu kodok bahari yogyakarta
201,Pantai Kesirat,Bahari,Yogyakarta,pantai kesirat bahari yogyakarta
202,Pantai Ngandong,Bahari,Yogyakarta,pantai ngandong bahari yogyakarta
203,Galaxy Waterpark Jogja,Taman Hiburan,Yogyakarta,galaxy waterpark jogja taman hiburan yogyakarta
204,Desa Wisata Pulesari,Taman Hiburan,Yogyakarta,desa wisata pulesari taman hiburan yogyakarta
205,Desa Wisata Tembi,Taman Hiburan,Yogyakarta,desa wisata tembi taman hiburan yogyakarta
206,Wisata Kaliurang,Cagar Alam,Yogyakarta,wisata kaliurang cagar alam yogyakarta
207,Heha Sky View,Taman Hiburan,Yogyakarta,heha sky view taman hiburan yogyakarta
208,Taman Sungai Mudal,Cagar Alam,Yogyakarta,taman sungai mudal cagar alam yogyakarta
209,Pantai Sanglen,Bahari,Yogyakarta,pantai sanglen bahari yogyakarta
210,Pantai Congot,Bahari,Yogyakarta,pantai congot bahari yogyakarta
211,GunungTangkuban perahu,Cagar Alam,Bandung,gunungtangkuban perahu cagar alam bandung
212,Jalan Braga,Budaya,Bandung,jalan braga budaya bandung
213,Gedung Sate,Budaya,Bandung,gedung sate budaya bandung
214,Trans Studio Bandung,Taman Hiburan,Bandung,trans studio bandung taman hiburan bandung
215,Taman Hutan Raya Ir. H. Djuanda,Cagar Alam,Bandung,taman hutan raya ir h djuanda cagar alam bandung
216,Farm House Susu Lembang,Taman Hiburan,Bandung,farm house susu lembang taman hiburan bandung
217,Kebun Binatang Bandung,Cagar Alam,Bandung,kebun binatang bandung cagar alam bandung
218,Kawah Putih,Cagar Alam,Bandung,kawah putih cagar alam bandung
219,Tebing Karaton,Cagar Alam,Bandung,tebing karaton cagar alam bandung
220,Dusun Bambu,Taman Hiburan,Bandung,dusun bambu taman hiburan bandung
221,Museum Geologi Bandung,Budaya,Bandung,museum geologi bandung budaya bandung
222,Museum Konferensi Asia Afrika,Budaya,Bandung,museum konferensi asia afrika budaya bandung
223,Masjid Raya Bandung,Tempat Ibadah,Bandung,masjid raya bandung tempat ibadah bandung
224,Dago Dreampark,Taman Hiburan,Bandung,dago dreampark taman hiburan bandung
225,Orchid Forest Cikole,Taman Hiburan,Bandung,orchid forest cikole taman hiburan bandung
226,Kawasan Punclut,Taman Hiburan,Bandung,kawasan punclut taman hiburan bandung
227,Alun-Alun Kota Bandung,Taman Hiburan,Bandung,alunalun kota bandung taman hiburan bandung
228,Museum Sri Baduga,Budaya,Bandung,museum sri baduga budaya bandung
229,Rabbit Town,Taman Hiburan,Bandung,rabbit town taman hiburan bandung
230,Stone Garden Citatah,Taman Hiburan,Bandung,stone garden citatah taman hiburan bandung
231,The Great Asia Africa,Taman Hiburan,Bandung,the great asia africa taman hiburan bandung
232,Bukit Moko,Cagar Alam,Bandung,bukit moko cagar alam bandung
233,Gunung Papandayan,Cagar Alam,Bandung,gunung papandayan cagar alam bandung
234,Amazing Art World,Budaya,Bandung,amazing art world budaya bandung
235,Gua Belanda,Cagar Alam,Bandung,gua belanda cagar alam bandung
236,Taman Balai Kota Bandung,Taman Hiburan,Bandung,taman balai kota bandung taman hiburan bandung
237,Panghegar Waterboom Bandung,Taman Hiburan,Bandung,panghegar waterboom bandung taman hiburan bandung
238,Gunung Manglayang,Cagar Alam,Bandung,gunung manglayang cagar alam bandung
239,Lembang Park & Zoo,Cagar Alam,Bandung,lembang park  zoo cagar alam bandung
240,Taman Lalu Lintas Ade Irma Suryani Nasution,Taman Hiburan,Bandung,taman lalu lintas ade irma suryani nasution taman hiburan bandung
241,Lawangwangi Creative Space,Taman Hiburan,Bandung,lawangwangi creative space taman hiburan bandung
242,Curug Dago,Cagar Alam,Bandung,curug dago cagar alam bandung
243,Kampung Korea Bandung,Budaya,Bandung,kampung korea bandung budaya bandung
244,Kampung Batu Malakasari,Taman Hiburan,Bandung,kampung batu malakasari taman hiburan bandung
245,Jendela Alam,Taman Hiburan,Bandung,jendela alam taman hiburan bandung
246,Curug Tilu Leuwi Opat,Cagar Alam,Bandung,curug tilu leuwi opat cagar alam bandung
247,Kiara Artha Park,Taman Hiburan,Bandung,kiara artha park taman hiburan bandung
248,NuArt Sculpture Park,Taman Hiburan,Bandung,nuart sculpture park taman hiburan bandung
249,Upside Down World Bandung,Taman Hiburan,Bandung,upside down world bandung taman hiburan bandung
250,Pesona Nirwana Waterpark & Cottages,Taman Hiburan,Bandung,pesona nirwana waterpark  cottages taman hiburan bandung
251,Taman Lansia,Taman Hiburan,Bandung,taman lansia taman hiburan bandung
252,Kampoeng Tulip,Taman Hiburan,Bandung,kampoeng tulip taman hiburan bandung
253,Selasar Sunaryo Art Space,Taman Hiburan,Bandung,selasar sunaryo art space taman hiburan bandung
254,Teras Cikapundung BBWS,Taman Hiburan,Bandung,teras cikapundung bbws taman hiburan bandung
255,Museum Barli,Budaya,Bandung,museum barli budaya bandung
256,Wisata Batu Kuda,Cagar Alam,Bandung,wisata batu kuda cagar alam bandung
257,Monumen Bandung Lautan Api,Budaya,Bandung,monumen bandung lautan api budaya bandung
258,Museum Gedung Sate,Budaya,Bandung,museum gedung sate budaya bandung
259,Monumen Perjuangan Rakyat Jawa Barat,Budaya,Bandung,monumen perjuangan rakyat jawa barat budaya bandung
260,Museum Pos Indonesia,Budaya,Bandung,museum pos indonesia budaya bandung
261,Ciwangun Indah Camp Official,Cagar Alam,Bandung,ciwangun indah camp official cagar alam bandung
262,Wot Batu,Cagar Alam,Bandung,wot batu cagar alam bandung
263,Curug Batu Templek,Cagar Alam,Bandung,curug batu templek cagar alam bandung
264,Gereja Katedral Santo Petrus Bandung,Tempat Ibadah,Bandung,gereja katedral santo petrus bandung tempat ibadah bandung
265,Museum Mandala Wangsit Siliwangi,Budaya,Bandung,museum mandala wangsit siliwangi budaya bandung
266,Caringin Tilu,Cagar Alam,Bandung,caringin tilu cagar alam bandung
267,Panama Park 825,Taman Hiburan,Bandung,panama park  taman hiburan bandung
268,Sudut Pandang Bandung,Taman Hiburan,Bandung,sudut pandang bandung taman hiburan bandung
269,Bumi Perkemahan Batu Kuda,Cagar Alam,Bandung,bumi perkemahan batu kuda cagar alam bandung
270,Bukit Bintang,Cagar Alam,Bandung,bukit bintang cagar alam bandung
271,Taman Vanda,Taman Hiburan,Bandung,taman vanda taman hiburan bandung
272,Taman Budaya Jawa Barat,Budaya,Bandung,taman budaya jawa barat budaya bandung
273,Curug Bugbrug,Cagar Alam,Bandung,curug bugbrug cagar alam bandung
274,Babakan Siliwangi City Forest Path Bandung,Cagar Alam,Bandung,babakan siliwangi city forest path bandung cagar alam bandung
275,Curug Cipanas,Cagar Alam,Bandung,curug cipanas cagar alam bandung
276,Taman Jomblo,Taman Hiburan,Bandung,taman jomblo taman hiburan bandung
277,Peta Park,Taman Hiburan,Bandung,peta park taman hiburan bandung
278,Masjid Daarut Tauhiid Bandung,Tempat Ibadah,Bandung,masjid daarut tauhiid bandung tempat ibadah bandung
279,Masjid Agung Trans Studio Bandung,Tempat Ibadah,Bandung,masjid agung trans studio bandung tempat ibadah bandung
280,Gereja Tiberias Indonesia Bandung,Tempat Ibadah,Bandung,gereja tiberias indonesia bandung tempat ibadah bandung
281,Tektona Waterpark,Taman Hiburan,Bandung,tektona waterpark taman hiburan bandung
282,Curug Cilengkrang,Cagar Alam,Bandung,curug cilengkrang cagar alam bandung
283,Jembatan Pasupati,Taman Hiburan,Bandung,jembatan pasupati taman hiburan bandung
284,Pasar Baru,Pusat Perbelanjaan,Bandung,pasar baru pusat perbelanjaan bandung
285,Taman Sejarah Bandung,Budaya,Bandung,taman sejarah bandung budaya bandung
286,Roemah Seni Sarasvati,Budaya,Bandung,roemah seni sarasvati budaya bandung
287,Puspa Iptek Sundial,Taman Hiburan,Bandung,puspa iptek sundial taman hiburan bandung
288,Masjid Salman ITB,Tempat Ibadah,Bandung,masjid salman itb tempat ibadah bandung
289,Curug Aseupan,Cagar Alam,Bandung,curug aseupan cagar alam bandung
290,Museum Pendidikan Nasional,Budaya,Bandung,museum pendidikan nasional budaya bandung
291,Water Park Bandung Indah,Taman Hiburan,Bandung,water park bandung indah taman hiburan bandung
292,Curug Anom,Cagar Alam,Bandung,curug anom cagar alam bandung
293,Taman Badak,Taman Hiburan,Bandung,taman badak taman hiburan bandung
294,Taman Film,Budaya,Bandung,taman film budaya bandung
295,Museum Nike Ardilla,Budaya,Bandung,museum nike ardilla budaya bandung
296,Batununggal Indah Club,Taman Hiburan,Bandung,batununggal indah club taman hiburan bandung
